A->A,A	C->C,C	I->I,I	M->M,M	N->N,N	O->O,O	S->S,S
1	52	0	12	5	0	3	26
2	58	1	7	5	0	3	17
3	49	1	10	5	0	3	24
4	53	0	10	5	0	3	18
5	49	0	6	7	1	3	25
6	54	5	5	5	0	3	16
7	53	1	8	5	0	4	24
8	58	0	5	5	0	3	25
9	46	2	10	5	0	4	18
10	51	0	9	4	0	3	21
11	52	0	11	5	2	3	19
12	46	0	5	5	1	4	28
13	47	4	5	5	3	3	15
14	52	3	8	2	0	3	16
15	54	1	8	5	0	4	23
16	54	1	9	5	1	3	20
17	49	0	9	6	0	3	22
18	50	2	9	5	3	3	23
19	53	0	10	5	0	3	25
20	51	1	11	5	2	3	19
21	49	2	11	8	0	3	19
22	51	0	9	5	0	3	21
23	41	6	9	5	0	4	16
24	54	0	7	5	1	3	24
25	55	0	10	3	0	3	23
26	44	2	10	7	0	3	23
27	52	0	10	6	4	3	16
28	55	1	9	5	1	3	19
29	53	4	10	4	0	3	15
30	56	0	9	5	2	3	22
31	55	1	10	5	0	3	26
32	55	0	9	5	2	3	23
33	50	1	10	3	0	3	23
34	43	4	6	7	1	3	18
35	47	0	8	7	0	3	20
36	52	1	10	5	0	3	21
37	48	1	9	7	3	3	16
38	45	1	10	5	1	4	24
39	48	0	7	6	1	3	21
40	55	2	10	5	0	3	19
41	50	0	6	6	0	3	22
42	51	2	8	5	1	4	19
43	54	0	9	5	0	4	21
44	46	0	11	5	0	3	26
45	48	4	8	8	0	3	16
46	51	0	6	5	0	4	18
47	51	2	10	7	1	4	19
48	48	1	10	2	0	3	22
49	57	0	8	6	0	3	19
50	54	1	10	5	0	4	19
