AI->A,AI	AI->I,AI	AIO->A,AIO	AIO->I,AIO	AM->A,AM	AMI->A,AMI	AMIO->A,AMIO	AMIO->M,AMIO	AM->M,AM	AMO->A,AMO	AO->A,AO	CA->A,CA	CA->C,CA	CAI->A,CAI	CAIO->O,CAIO	CAM->A,CAM	CAM->C,CAM	CAMI->A,CAMI	CAMI->I,CAMI	CAMIO->C,CAMIO	CAM->M,CAM	CAO->A,CAO	CM->M,CM	CNA->A,CNA	CNA->C,CNA	CNAIO->C,CNAIO	CNAIO->O,CNAIO	CNAM->A,CNAM	CNAMI->A,CNAMI	CNAMI->I,CNAMI	CNAM->M,CNAM	CNAM->N,CNAM	CNA->N,CNA	CNAO->O,CNAO	CN->C,CN	CNIO->O,CNIO	CNMIO->I,CNMIO	CNMIO->O,CNMIO	CN->N,CN	CNO->O,CNO	CO->O,CO	IO->I,IO	IO->O,IO	MI->I,MI	MIO->I,MIO	MIO->M,MIO	MIO->O,MIO	NA->A,NA	NAI->A,NAI	NAM->A,NAM	NAMI->A,NAMI	NAM->M,NAM	NA->N,NA	NAO->A,NAO	NI->I,NI	NM->M,NM	SA->A,SA	SAI->A,SAI	SAI->I,SAI	SAI->S,SAI	SAM->A,SAM	SAMI->A,SAMI	SAMI->I,SAMI	SAMI->M,SAMI	SAMIO->A,SAMIO	SAMIO->I,SAMIO	SAMIO->O,SAMIO	SAMI->S,SAMI	SAM->M,SAM	SAMO->A,SAMO	SAMO->S,SAMO	SAM->S,SAM	SA->S,SA	SCA->A,SCA	SCA->C,SCA	SCAM->A,SCAM	SCAM->C,SCAM	SCAMI->A,SCAMI	SCAMI->I,SCAMI	SCAMIO->A,SCAMIO	SCAM->M,SCAM	SCAMO->A,SCAMO	SCAM->S,SCAM	SCAO->S,SCAO	SCA->S,SCA	SC->C,SC	SCI->S,SCI	SCM->C,SCM	SCMI->C,SCMI	SCMIO->O,SCMIO	SCMO->M,SCMO	SCMO->O,SCMO	SCM->S,SCM	SCNA->A,SCNA	SCNAI->A,SCNAI	SCNAI->I,SCNAI	SCNAIO->S,SCNAIO	SCNAM->A,SCNAM	SCNAM->C,SCNAM	SCNAMI->A,SCNAMI	SCNAMI->I,SCNAMI	SCNAMI->M,SCNAMI	SCNAMIO->A,SCNAMIO	SCNAMIO->C,SCNAMIO	SCNAMIO->O,SCNAMIO	SCNAMIO->S,SCNAMIO	SCNAMI->S,SCNAMI	SCNAM->M,SCNAM	SCNAM->N,SCNAM	SCNAMO->N,SCNAMO	SCNAMO->O,SCNAMO	SCNAMO->S,SCNAMO	SCNAM->S,SCNAM	SCNA->N,SCNA	SCNAO->O,SCNAO	SCN->C,SCN	SCNIO->S,SCNIO	SCNM->C,SCNM	SCNMI->C,SCNMI	SCNMI->I,SCNMI	SCNMI->N,SCNMI	SCNMIO->I,SCNMIO	SCNMI->S,SCNMI	SCNM->M,SCNM	SCNMO->O,SCNMO	SCNM->S,SCNM	SCN->N,SCN	SCNO->C,SCNO	SCNO->N,SCNO	SCNO->S,SCNO	SCN->S,SCN	SCO->O,SCO	SC->S,SC	SI->I,SI	SIO->O,SIO	SI->S,SI	SMI->I,SMI	SM->M,SM	SM->S,SM	SNA->A,SNA	SNAIO->S,SNAIO	SNAM->A,SNAM	SNAMI->A,SNAMI	SNAMI->M,SNAMI	SNAMIO->S,SNAMIO	SNAM->M,SNAM	SNAM->S,SNAM	SNA->N,SNA	SNAO->O,SNAO	SNA->S,SNA	SNMIO->S,SNMIO	SNMO->O,SNMO	SNM->S,SNM	SN->N,SN	SNO->O,SNO	SNO->S,SNO	SN->S,SN	SO->O,SO
1	3	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
3	2	1	0	0	4	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0
4	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
5	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0
6	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0
7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0
8	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
9	1	1	0	0	3	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
10	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
