A->A,A	C->C,C	I->I,I	M->M,M	N->N,N	O->O,O	S->S,S
1	48	0	7	5	0	3	21
2	50	2	11	5	0	3	17
3	46	0	10	6	0	4	23
4	52	3	10	2	1	4	18
5	51	0	6	5	0	3	23
6	48	0	5	5	0	3	27
7	52	1	9	5	2	3	23
8	46	0	9	5	2	3	27
9	51	6	10	5	0	3	16
10	50	1	9	5	0	3	28
11	55	0	10	5	1	4	21
12	49	6	4	7	0	4	15
13	47	2	6	5	0	3	22
14	41	2	9	6	0	3	22
15	43	1	9	5	0	3	25
16	46	0	9	5	0	4	25
17	51	0	9	5	0	3	26
18	45	1	10	5	2	3	18
19	54	0	10	5	0	4	25
20	49	0	9	5	3	3	24
21	56	1	10	2	3	4	23
22	54	0	10	5	0	3	22
23	49	1	10	5	1	3	20
24	47	1	10	6	0	3	22
25	53	5	10	5	0	3	15
26	46	0	6	8	0	3	22
27	53	0	10	4	2	3	21
28	47	4	5	5	0	3	18
29	47	0	10	7	0	3	25
30	47	1	10	5	0	3	21
31	51	0	10	5	0	4	28
32	45	0	9	5	0	3	28
33	51	3	8	5	2	3	17
34	48	1	6	5	1	3	24
35	48	1	11	5	2	3	21
36	48	4	11	3	0	3	22
37	52	5	6	5	1	4	16
38	49	0	11	7	2	4	25
39	48	5	10	5	1	4	17
40	55	2	9	5	0	3	19
41	52	4	11	5	1	3	15
42	55	0	8	2	2	3	24
43	50	1	6	5	0	4	19
44	51	0	10	5	0	4	26
45	53	2	7	5	0	4	17
46	47	2	5	5	3	3	17
47	54	1	6	5	0	5	19
48	57	0	11	2	3	3	21
49	51	0	9	5	1	3	25
50	53	6	11	5	0	3	21
