Code,Genus,Species,Voucher,Country,Herbarium,ITS,ITSname,rps16,rps16names,ndhF,ndhFnames
SC281,Becquerelia,cymosa, Van Andel T.R. & al. 4473, Suriname,GENT,LN886915,Becquerlia_cymosa_LN886915_Surinam,LN887144,Becquerelia_cymosa_LN887144_Surinam,LN887033,Becquerelia_cymosa_LN887033_Surinam
SC282,Bisboeckelera,microcephala, Billiet F. & al. 1850, French Guiana,BR,LN886916,Bisboeckelera_microcephala_LN886916_French_Guiana,LN887145,Bisboeckelera_microcephala_LN887145_French_Guiana,LN887034,Bisboeckelera_microcephala_LN887034_French_Guiana
SC106,Calyptrocarya,glomerulata, De Wilde Bart 7, Guyana,TCD,LN886843,Calyptrocarya_glomerulata_LN886843_Guyana,LN887070,Calyptrocarya_glomerulata_LN887070_Guyana,LN886954,Calyptrocarya_glomerulata_LN886954_Guyana
SC279,Diplacrum,caricinum," Sungkaew, S. & Teerawatananon A. 636", Thailand,Thailand Natural History Museum,LN886913,Diplacrum_caricinum_LN886913_Thailand,,,LN887031,Diplacrum_caricinum_LN887031_Thailand
SC196,Scleria,abortiva, Archer R.H. 3816, Madagascar,MO,LN886879,Scleria_abortiva_LN886879_Madagascar,LN887110,Scleria_abortiva_LN887110_Madagascar,LN886995,Scleria_abortiva_LN886995_Madagascar
SC226,Scleria,abortiva, Razakamalala R. & al. 3309, Madagascar,MO,LN886891,Scleria_abortiva_LN886891_Madagascar,LN887120,Scleria_abortiva_LN887120_Madagascar,LN887007,Scleria_abortiva_LN887007_Madagascar
JG20,Scleria,angusta,Rabevohitra 2062 ,Madagascar,K,JG20,Scleria_angusta_JG20_Madagascar,,,,
SC072,Scleria,angusta, Browning J. 390, South Africa,GENT,LN886828,Scleria_angusta_LN886828_South_Africa,LN887056,Scleria_angusta_LN887056_South_Africa,LN886939,Scleria_angusta_LN886939_South_Africa
SC199,Scleria,angustifolia,Robinson E.A. 4286,Zambia,MO,MG708543,Scleria_angustifolia_MG708543_Zambia,MG708784,Scleria_angustifolia_MG708784_Zambia,MG708671,Scleria_angustifolia_MG708671_Zambia
SC437,Scleria,angustifoli,Robinson 6623,Zambia,GENT,MG708616,Scleria_angustifolia_MG708616_Zambia,MG708848,Scleria_angustifolia_MG708848_Zambia,MG708739,Scleria_angustifolia_MG708739_Zambia
SC443,Scleria,angustifolia,Robinson 4286,Zambia,NY,MG708621,Scleria_angustifolia_MG708621_Zambia,MG708854,Scleria_angustifolia_MG708854_Zambia,MG708745,Scleria_angustifolia_MG708745_Zambia
SC022,Scleria,ankaratrensis,Larridon et al. 2010-0340,Madagascar,GENT,MG708516,Scleria_ankaratrensis_MG708516_Madagascar,MG708759,Scleria_ankaratrensis_MG708759_Madagascar,MG708646,Scleria_ankaratrensis_MG708646_Madagascar
SC125,Scleria,arguta, Perry A. 1195, Bolivia,GENT,LN886852,Scleria_arguta_LN886852_Bolivia,LN887079,,LN886964,Scleria_arguta_LN886964_Bolivia
SC203,Scleria,balansae, Pedersen C. 22262, Brazil,MO,LN886881,Scleria_balansae_LN886881_Brazil,,,LN886997,Scleria_balansae_LN886997_Brazil
SC187,Scleria,baldwinii, Bauters K. & Coenen J. 2013-038, U.S.A.,GENT,,,LN887107,Scleria_baldwinii_LN887107_USA,LN886992,Scleria_baldwinii_LN886992_USA
SC204,Scleria,bambariensis, Bidgood  S. & al. 5695, Tanzania,MO,LN886882,Scleria_bambariensis_LN886882_Tanzania,LN887112,Scleria_bambariensis_LN887112_Tanzania,LN886998,Scleria_bambariensis_LN886998_Tanzania
