AI->A,AI	AI->I,AI	AIO->A,AIO	AIO->I,AIO	AM->A,AM	AMI->A,AMI	AMI->I,AMI	AMI->M,AMI	AMIO->A,AMIO	AMIO->M,AMIO	AM->M,AM	AMO->A,AMO	AMO->O,AMO	AO->A,AO	AO->O,AO	CA->A,CA	CA->C,CA	CAI->A,CAI	CAI->I,CAI	CAIO->A,CAIO	CAIO->I,CAIO	CAM->A,CAM	CAM->C,CAM	CAM->M,CAM	CAMO->A,CAMO	CAMO->O,CAMO	CAO->O,CAO	CM->C,CM	CMO->O,CMO	CNA->A,CNA	CNA->C,CNA	CNAM->A,CNAM	CNAMI->A,CNAMI	CNAMI->I,CNAMI	CNAMIO->O,CNAMIO	CNAM->M,CNAM	CNAM->N,CNAM	CNA->N,CNA	CN->C,CN	CNI->N,CNI	CNMI->C,CNMI	CNMI->I,CNMI	CN->N,CN	CNO->N,CNO	CNO->O,CNO	IO->I,IO	IO->O,IO	MI->I,MI	MI->M,MI	MIO->I,MIO	MIO->O,MIO	MO->O,MO	NA->A,NA	NAI->A,NAI	NAI->I,NAI	NAIO->O,NAIO	NAM->A,NAM	NAMIO->N,NAMIO	NAM->M,NAM	NA->N,NA	NIO->O,NIO	NMIO->M,NMIO	NMO->O,NMO	NO->O,NO	SA->A,SA	SAI->A,SAI	SAI->S,SAI	SAM->A,SAM	SAMI->M,SAMI	SAMIO->O,SAMIO	SAMIO->S,SAMIO	SAM->M,SAM	SAM->S,SAM	SA->S,SA	SCA->A,SCA	SCA->C,SCA	SCAI->I,SCAI	SCAM->A,SCAM	SCAM->C,SCAM	SCAMI->A,SCAMI	SCAMI->I,SCAMI	SCAMI->M,SCAMI	SCAMIO->I,SCAMIO	SCAMIO->S,SCAMIO	SCAMI->S,SCAMI	SCAM->M,SCAM	SCAMO->A,SCAMO	SCAMO->S,SCAMO	SCAM->S,SCAM	SCAO->A,SCAO	SCAO->O,SCAO	SCA->S,SCA	SC->C,SC	SCI->S,SCI	SCM->C,SCM	SCMIO->O,SCMIO	SCM->M,SCM	SCM->S,SCM	SCNA->A,SCNA	SCNA->C,SCNA	SCNAIO->A,SCNAIO	SCNAIO->C,SCNAIO	SCNAIO->O,SCNAIO	SCNAIO->S,SCNAIO	SCNAM->A,SCNAM	SCNAM->C,SCNAM	SCNAMI->A,SCNAMI	SCNAMI->C,SCNAMI	SCNAMIO->A,SCNAMIO	SCNAMIO->I,SCNAMIO	SCNAMIO->M,SCNAMIO	SCNAMIO->N,SCNAMIO	SCNAMIO->O,SCNAMIO	SCNAMIO->S,SCNAMIO	SCNAM->M,SCNAM	SCNAMO->A,SCNAMO	SCNAMO->M,SCNAMO	SCNAMO->N,SCNAMO	SCNAMO->S,SCNAMO	SCNAM->S,SCNAM	SCNA->N,SCNA	SCNAO->A,SCNAO	SCN->C,SCN	SCNIO->O,SCNIO	SCNIO->S,SCNIO	SCNMIO->C,SCNMIO	SCNMO->N,SCNMO	SCNMO->O,SCNMO	SCN->N,SCN	SCNO->C,SCNO	SCNO->N,SCNO	SCNO->O,SCNO	SCN->S,SCN	SCO->O,SCO	SC->S,SC	SI->I,SI	SI->S,SI	SM->M,SM	SM->S,SM	SNA->A,SNA	SNAIO->O,SNAIO	SNAM->A,SNAM	SNAMIO->N,SNAMIO	SNAM->M,SNAM	SNAMO->O,SNAMO	SNAM->S,SNAM	SNA->N,SNA	SNA->S,SNA	SNI->S,SNI	SNMO->O,SNMO	SN->N,SN	SN->S,SN	SO->O,SO
1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0
3	3	1	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
4	0	0	0	0	5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
6	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
10	0	0	2	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
