AI->A,I	AIO->A,IO	AIO->I,AO	AM->A,M	AMI->A,MI	AMI->I,AM	AMI->M,AI	AMIO->A,MIO	AO->A,O	CA->A,C	CAI->A,CI	CAI->C,AI	CAIO->A,CIO	CAM->A,CM	CAM->C,AM	CAMI->M,CAI	CAMIO->A,CMIO	CAMIO->O,CAMI	CAMO->M,CAO	CAO->O,CA	CI->C,I	CIO->C,IO	CM->C,M	CMI->I,CM	CMIO->C,MIO	CMIO->O,CMI	CNA->A,CN	CNA->C,NA	CNAI->I,CNA	CNAIO->I,CNAO	CNAMI->I,CNAM	CNAMI->N,CAMI	CNAM->N,CAM	CNAMO->O,CNAM	CNA->N,CA	CNAO->N,CAO	CN->C,N	CNI->I,CN	CNMO->O,CNM	CO->C,O	IO->I,O	MI->I,M	MIO->O,MI	NA->A,N	NAI->I,NA	NAI->N,AI	NAIO->N,AIO	NAIO->O,NAI	NAMI->A,NMI	NAMI->I,NAM	NAMIO->A,NMIO	NAM->M,NA	NAM->N,AM	NI->I,N	NIO->O,NI	NMI->I,NM	NM->M,N	SA->A,S	SAI->A,SI	SAI->I,SA	SAIO->O,SAI	SAI->S,AI	SAM->A,SM	SAMI->A,SMI	SAMI->I,SAM	SAMIO->S,AMIO	SAMI->S,AMI	SAM->M,SA	SAMO->A,SMO	SAM->S,AM	SCA->A,SC	SCA->C,SA	SCAI->A,SCI	SCAIO->S,CAIO	SCAI->S,CAI	SCAM->A,SCM	SCAM->C,SAM	SCAMI->A,SCMI	SCAMIO->I,SCAMO	SCAMIO->O,SCAMI	SCAMI->S,CAMI	SCAMO->A,SCMO	SCAMO->O,SCAM	SCAM->S,CAM	SCA->S,CA	SC->C,S	SCI->C,SI	SCIO->O,SCI	SCMI->I,SCM	SCMI->S,CMI	SCM->M,SC	SCMO->O,SCM	SCMO->S,CMO	SCM->S,CM	SCNA->A,SCN	SCNAIO->A,SCNIO	SCNAIO->O,SCNAI	SCNAIO->S,CNAIO	SCNAM->A,SCNM	SCNAM->C,SNAM	SCNAMI->A,SCNMI	SCNAMI->C,SNAMI	SCNAMI->I,SCNAM	SCNAMIO->A,SCNMIO	SCNAMIO->I,SCNAMO	SCNAMIO->M,SCNAIO	SCNAMIO->S,CNAMIO	SCNAM->N,SCAM	SCNAMO->A,SCNMO	SCNAMO->N,SCAMO	SCNAMO->O,SCNAM	SCNAMO->S,CNAMO	SCNAO->A,SCNO	SCNAO->O,SCNA	SCNA->S,CNA	SCN->C,SN	SCNIO->I,SCNO	SCNI->S,CNI	SCNMIO->S,CNMIO	SCNMO->C,SNMO	SCNMO->O,SCNM	SCN->N,SC	SCNO->S,CNO	SCN->S,CN	SCO->S,CO	SI->I,S	SIO->O,SI	SMI->I,SM	SM->M,S	SNA->A,SN	SNAI->I,SNA	SNAIO->O,SNAI	SNAI->S,NAI	SNAMI->I,SNAM	SNAMIO->I,SNAMO	SNAMIO->N,SAMIO	SNAMIO->O,SNAMI	SNAMIO->S,NAMIO	SNAM->N,SAM	SNA->N,SA	SNA->S,NA	SNI->I,SN	SNIO->O,SNI	SNMI->I,SNM	SNMIO->I,SNMO	SNM->M,SN	SNMO->O,SNM	SNMO->S,NMO	SNM->S,NM	SN->N,S	SO->O,S
1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
